Dataset,Model,Experiment name,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenetsketch,vgg19,predict_imagenetsketch_vgg19_23-07-2023_15-17-27,0.17936373818553378,0.39902216580555805,0.27170488345274796,2.7349436602822332,0.0010000000788436452,0.00026772373037950377,21.967813444096347,565.8773180555954,1.1385585420246098,0.1323129410210623,0.0413478427431005,0.9385845487124007,-0.5057449265862122,0.2767887132273805
imagenet-r,resnet50,predict_imagenet-r_resnet50_24-07-2023_00-36-14,0.03406666666666667,0.12105982197651077,0.17011678885983683,3.8231942886079353,0.00025070176135641307,4.426946199426525e-05,20.59756682043473,559.3326252306621,1.0155926605276142,0.028958885953134936,0.0085084040930692,1.0755588078471796,-0.32417343985239666,0.10889555864463764
imagenet-r,resnet18,predict_imagenet-r_resnet18_24-07-2023_00-53-39,0.028333333333333332,0.208789149821254,0.2972152351027852,1.974000871117379,0.00028082968447706706,0.00013496442550241076,24.135268152300515,656.951058128357,0.9733811765179072,0.05089149668230892,0.025779969815588312,1.0405921941410103,-0.3764065751671791,0.1831142471918128
imagenet-r,resnet34,predict_imagenet-r_resnet34_24-07-2023_01-01-37,0.0302,0.23439446259686836,0.3216029304298617,1.8191799921878435,0.000295092641253279,0.00016118014707971166,24.890840382003784,689.4793047598521,0.9064536349215708,0.05485739385255088,0.031113068563560373,1.079015527433877,-0.3317732457637787,0.21101011413418463
imagenet-r,resnet101,predict_imagenet-r_resnet101_24-07-2023_01-12-14,0.03203333333333333,0.2658669057747023,0.34987923308169716,1.6980960949864339,0.00031619098543284865,0.00019581150379395873,25.439333303340277,714.4200909243266,0.8379560377999736,0.06003850422692942,0.0381035221324782,1.1079124604497241,-0.29100990599393844,0.24467407330155147
imagenet-r,resnet152,predict_imagenet-r_resnet152_24-07-2023_01-34-36,0.033133333333333334,0.28231382231388263,0.36213142789123104,1.6833520852572672,0.00033198313079731536,0.00021363395171787955,25.45451473514239,,0.822749944945424,0.06325192479363063,0.0416424510199549,1.1197915179801865,,0.26118730781477584
imagenet-r,vgg16,predict_imagenet-r_vgg16_24-07-2023_02-06-21,0.0227,0.1921061028118085,0.28795526763497364,1.9380009848072894,0.00025900134213309293,0.00012272397943840227,24.125263339821498,,0.9838096757388797,0.047117236932976266,0.023420578792380842,1.0251770907214728,,0.1674186632644456
imagenet-r,vgg19,predict_imagenet-r_vgg19_24-07-2023_02-32-26,0.024333333333333332,0.19300766504479938,0.2911284664650323,1.9508485940997755,0.000257079071124493,0.00012478963271025755,24.17305920551618,,0.9767731046561346,0.046889152095617906,0.023869584519119576,1.0419618379256401,,0.16934474314286618
imagenetsketch,alexnet,predict_imagenetsketch_alexnet_23-07-2023_16-11-47,0.10718987640250732,0.33538577401321845,0.22472928817909743,2.9566615462247623,0.0010000000669690124,0.0001980107765181915,20.650933912734505,509.92941671780994,1.2452985029951789,0.12321001202983206,0.027328784363897175,0.8853194556294013,-0.5629828531385904,0.21305367444654966
imagenet-r,alexnet,predict_imagenet-r_alexnet_24-07-2023_03-02-33,0.019366666666666667,0.1487273675555689,0.23892786671287514,2.0214172063193043,0.00022379703046866755,8.202493160749172e-05,23.287058261299133,616.0059678816477,1.0782571700465997,0.03936424918111426,0.015332363825499861,0.9745284889110581,-0.4585910699129105,0.12328057801703747
imagenet-r,resnext,predict_imagenet-r_resnext_24-07-2023_03-06-54,0.03886666666666667,0.13930813646193976,0.17588123289287255,3.642441397372757,0.0002602416000809986,5.101132461301738e-05,21.938285951586565,613.3863617477099,0.9153057677537824,0.032128352116539464,0.00986452443751511,1.1271914115211423,-0.2583591505289078,0.1278888177204292
imagenet-r,googlenet,predict_imagenet-r_googlenet_24-07-2023_04-48-12,0.029133333333333334,0.1729769148903125,0.26444183048836917,2.9646508114137093,0.0002697837596630728,0.0001018901293436359,22.193142905569076,591.0922793579738,1.0503420577695932,0.04245214781427421,0.019493119948539053,1.02650094612273,-0.3875295412182808,0.1518327679684231
imagenet-a,resnet50,predict_imagenet-a_resnet50_24-07-2023_05-08-29,0.145290047897818,0.08750416753665696,0.11526312815009486,3.851357602657569,0.00024803176527897296,2.2355143241320198e-05,20.629107016762752,529.4865140294445,1.1766046453435857,0.026309872504776177,0.0038897189513175385,0.9646993599929414,-0.47500769039809293,0.06610909063620937
imagenet-a,resnet18,predict_imagenet-a_resnet18_24-07-2023_05-13-27,0.011442256519425226,0.17133609963795043,0.22241913795351728,1.9930572461055625,0.0002826612523586877,8.300605860980865e-05,23.645694215415702,630.6224304349452,1.0598545793878418,0.04820362487794819,0.01495677550881315,0.9838374786771439,-0.4577301268630868,0.13514830598295793
imagenet-a,resnet34,predict_imagenet-a_resnet34_24-07-2023_05-15-22,0.018626929217668974,0.18898549376672436,0.24199551753365403,1.8304374690231404,0.0002864234938388068,9.83488665624575e-05,24.522879852203058,669.0383887521887,0.9917525019127023,0.05061672652335143,0.018015958826431283,1.0323698172583389,-0.39849234352154955,0.15462728228542244
imagenet-a,resnet101,predict_imagenet-a_resnet101_24-07-2023_05-17-51,0.04723257051623204,0.20398158412830333,0.2670337410974071,1.6710065278968111,0.0002864630978369412,0.00011715645248401427,25.192584120383472,697.496472438388,0.9290328629724819,0.052229921081799746,0.021831733613628574,1.0596713111582152,-0.36457650602149355,0.17124807296254754
imagenet-a,resnet152,predict_imagenet-a_resnet152_24-07-2023_05-23-35,0.06027142096860032,0.20590343562645855,0.26351080128756854,1.6390621258322435,0.00029043050272639165,0.00011636203002601196,25.276613389893754,701.1611584561375,0.924401536589143,0.05310050855536827,0.021556010790616358,1.0622018700880091,-0.3601884787675229,0.17157611224521463
imagenet-a,vgg16,predict_imagenet-a_vgg16_24-07-2023_05-31-53,0.026343799893560404,0.17248675351421403,0.221548009751005,1.9768871538095805,0.0002845854005040656,8.314294376071652e-05,23.719326981653108,634.6360147515785,1.0519050101242446,0.048483617242853896,0.014955276155026323,0.9947359698272463,-0.4381652172890796,0.13588864663975214
imagenet-a,vgg19,predict_imagenet-a_vgg19_24-07-2023_05-38-26,0.021021820117083555,0.17241486418452953,0.22368528704650967,1.982299617552556,0.000284116735034901,8.393885689746716e-05,23.684806594257346,633.5584026415846,1.052196373263625,0.048303817602920886,0.015136104657007985,0.9945764974722843,-0.43646705509056877,0.1369073528502787
imagenet-a,alexnet,predict_imagenet-a_alexnet_24-07-2023_05-46-07,0.017695582756785525,0.13141167457198827,0.17297606739770002,2.3041267526425804,0.00026055064159383656,5.097699094238055e-05,22.044168850409978,563.8942781603672,1.1763633477955229,0.040859386490851836,0.008756203396932024,0.9250685133697116,-0.5181426060301246,0.09630405039980836
imagenetsketch,resnext,predict_imagenetsketch_resnext_23-07-2023_16-20-08,0.3256174962174058,0.2681522769282502,0.18195650913131808,4.825314106803578,0.001000000032825154,0.00011575293647245718,23.943442993381815,650.4834580685019,1.0204622964198282,0.08133776862584859,0.019010117958984732,1.0415125275116126,-0.37912429775623624,0.20118814893935263
imagenetsketch,wide_resnet,predict_imagenetsketch_wide_resnet_23-07-2023_17-42-19,0.3323966909669686,0.4481272927747888,0.25222215140931664,3.3675035471016845,0.0010000000319604632,0.00028428800634930807,25.459519779681457,711.977433289972,0.8866900370101856,0.12538347012436923,0.0493796076066236,1.091323367200093,-0.32580908404398984,0.3541541686750298
imagenetsketch,densenet121,predict_imagenetsketch_densenet121_23-07-2023_19-00-09,0.24247902379595607,0.444259306746566,0.2841986534769078,2.5394198997499697,0.0010000000749731234,0.0003122024759443243,23.098346047565304,612.496622961083,1.0627095364884687,0.13937683137342818,0.05031563777603718,0.9884499997226907,-0.4464808575274193,0.3225223270160214
imagenetsketch,googlenet,predict_imagenetsketch_googlenet_23-07-2023_19-37-07,0.2305515710046963,0.295991506443887,0.25248018275918516,3.929298336434946,0.0010000000323173196,0.00017239203688742467,20.631833774084818,517.1804097310091,1.2006390915227811,0.09929444907142972,0.027055907217769903,0.914871626305491,-0.5267859405028401,0.20473442980903223
imagenetsketch,mobilenet,predict_imagenetsketch_mobilenet_v2_23-07-2023_20-01-32,0.19962272307480694,0.124374457901292,0.140493337641697,5.621583280170976,0.0010000000303980717,4.194939877971013e-05,16.735300771903052,378.5668110615197,1.35698996457455,0.04776156643976783,0.006045505468034535,0.8339386988643273,-0.6126110068621416,0.07743950109798833
imagenet-r,wide_resnet,predict_imagenet-r_wide_resnet_24-07-2023_03-51-43,0.0381,0.2602079402113708,0.3093614873464116,2.8292223294287417,0.00033995144001929326,0.00016475354455491097,23.91721537992954,682.6374383383115,0.7937678135460596,0.05684254807159529,0.03231589492288971,1.1663299800759452,-0.21191412687301636,0.24547266357401445
imagenet-r,densenet121,predict_imagenet-r_densenet121_24-07-2023_04-30-34,0.030066666666666665,0.2336054886662027,0.3204617258234034,1.883998277277578,0.0002941811789604247,0.00015990733188936618,24.645531821870804,680.8068531656901,0.9148423634933837,0.054580773736012965,0.030871732268960932,1.073745427838518,-0.333275141398112,0.21058796444629593
imagenet-r,mobilenet,predict_imagenet-r_mobilenet_v2_24-07-2023_04-58-40,0.027033333333333333,0.06870164473101564,0.12715853505889074,4.185674184685837,0.0002145912579880928,2.1567354429432183e-05,17.32043602631887,423.0230456478437,1.2498948388137583,0.019460252381220684,0.004002816768665,0.93043645302602,-0.4955327169060707,0.055886470709161584
imagenet-a,resnext,predict_imagenet-a_resnext_24-07-2023_05-47-17,0.27474720596061736,0.10678437589849737,0.13352290460431887,3.6800763871808213,0.00025584315214284776,3.076479925514291e-05,22.140222126702287,593.6633407327645,1.0705453609665674,0.029607858390684375,0.0055247048123837255,1.0330340375163753,-0.3976379116365667,0.08502497520824236
imagenet-a,wide_resnet,predict_imagenet-a_wide_resnet_24-07-2023_05-58-37,0.22139435870143692,0.17738845706128728,0.22273380030442813,2.928713652916191,0.0002882506001919789,8.42014260814099e-05,23.972234993570343,662.6830517563368,0.9559524093488241,0.04516010681108185,0.015646728487881567,1.0742862147976306,-0.34853413076144446,0.14883237162706542
imagenet-a,densenet121,predict_imagenet-a_densenet121_24-07-2023_06-09-29,0.021420968600319317,0.17626576476525405,0.23137331374772488,1.8852522850765556,0.0002746897212801497,8.878613995818642e-05,24.227745713928776,655.6453527640383,1.0148966086236835,0.04811852615518385,0.01615452761433833,1.013079979984199,-0.42371305184138464,0.14135840693974233
imagenet-a,googlenet,predict_imagenet-a_googlenet_24-07-2023_06-14-00,0.017030335284725917,0.12619986554021637,0.17936152467613378,2.9036271302450016,0.0002605766172406191,5.084370236852136e-05,21.814834007308356,561.8384757338844,1.1614827500159857,0.03732166035974126,0.009020995941750707,0.9517953550107341,-0.48650741670726777,0.09686384997367407
imagenet-a,mobilenet,predict_imagenet-a_mobilenet_v2_24-07-2023_06-16-41,0.033661522086216075,0.05838001486241708,0.0851376708446867,4.088969510863473,0.00023607924133323846,1.1860505851291803e-05,17.914510644452886,422.65372845237084,1.3170487483008753,0.020555141478020882,0.001909197704896025,0.8762158414592075,-0.5695760774606082,0.03942676387519584
imagenet-r,resnet50,predict_imagenet-r_resnet50_24-07-2023_13-58-07,0.03406666666666667,0.3094655764879348,0.28217024320425016,3.8231943286870917,0.0010000000296354603,0.00018404742718221314,20.59756580666701,559.3325828567187,1.0155926606806305,0.08336380978766829,0.03335459641216351,1.075558805914463,-0.32417344152530037,0.2600560783379047
imagenet-r,resnet18,predict_imagenet-r_resnet18_24-07-2023_14-19-26,0.028333333333333332,0.515376789511616,0.29484351116220375,1.9740008850558628,0.0010000000377263253,0.0003877686075622781,24.135266453123094,656.9509862869263,0.9733811766954813,0.15375171961529802,0.06466896589817392,1.0405921902258772,-0.3764065749923388,0.3937368418508726
imagenet-r,resnet34,predict_imagenet-r_resnet34_24-07-2023_14-27-00,0.0302,0.5530251383531839,0.2998078695744209,1.8191800055182934,0.0010000000369385816,0.00042930100489905576,24.89083842538198,689.4792241273244,0.9064536359340893,0.15853472999458512,0.07343977233015696,1.079015528414089,-0.3317732432683309,0.43568828052894265
imagenet-r,resnet101,predict_imagenet-r_resnet101_24-07-2023_14-38-00,0.03203333333333333,0.5861355810645967,0.3089458690887597,1.6980961078423387,0.0010000000386266039,0.0004702569928751776,25.439331034326553,714.420040620931,0.8379560379692904,0.1613769983065625,0.08254806497746496,1.107912460281113,-0.2910099081158638,0.47600685083904304
imagenet-r,resnet152,predict_imagenet-r_resnet152_24-07-2023_15-02-10,0.033133333333333334,0.5919878806680441,0.3151103219947334,1.6833520984250834,0.0010000000397364299,0.0004797155812549439,25.454512556902568,716.4290226141612,0.8227499451715545,0.16107134753738842,0.08487561501720027,1.1197915180732676,-0.27530149616797767,0.48567737604705663
imagenet-r,vgg16,predict_imagenet-r_vgg16_24-07-2023_15-33-16,0.0227,0.5156941819864015,0.2887769384741085,1.938000997453696,0.0010000000380251245,0.0003868469847370761,24.125261572297415,654.7962430599213,0.9838096761674232,0.155878136320288,0.06374777836249398,1.0251770902928268,-0.39645187721649805,0.3880154865588544
imagenet-r,vgg19,predict_imagenet-r_vgg19_24-07-2023_15-59-38,0.024333333333333332,0.5171565663546324,0.29151036438575867,1.9508486074301912,0.0010000000386421258,0.00038867966171953107,24.173057313696543,658.2574729606629,0.9767731052994181,0.15491697433292867,0.06444951791262944,1.0419618410726246,-0.3761276868581772,0.3928520886955786
imagenet-r,alexnet,predict_imagenet-r_alexnet_24-07-2023_16-30-14,0.019366666666666667,0.4733892198735227,0.26292219053640614,2.02141721981676,0.0010000000370433554,0.00033603383887757446,23.287056710243224,616.0059037256876,1.0782571700694865,0.15425690022402752,0.05187213709412481,0.9745284849989464,-0.4585910701473554,0.3343043675617511
imagenet-r,resnext,predict_imagenet-r_resnext_24-07-2023_16-35-12,0.03886666666666667,0.35247826255055453,0.2916834628955464,3.6424414313005906,0.0010000000304697702,0.00021752338193723516,21.938284390779337,613.3862995935599,0.9153057680611033,0.09023073378892926,0.0401502480015745,1.1271914184805383,-0.2583591466466586,0.30561055596971515
imagenet-r,wide_resnet,predict_imagenet-r_wide_resnet_24-07-2023_17-20-57,0.0381,0.48390951417794764,0.35341510479940436,2.82922235733171,0.0010000000301127632,0.0003699686415620211,23.917213397053878,682.6373635361592,0.793767813529226,0.11846678385577786,0.06965373903577872,1.166329974395444,-0.21191413110097249,0.42841951385863897
imagenet-r,densenet121,predict_imagenet-r_densenet121_24-07-2023_18-02-15,0.030066666666666665,0.5437644385949398,0.3056943116519931,1.883998291021121,0.0010000000371442486,0.00042150282871992507,24.645529956674576,680.8067739331564,0.9148423638310921,0.15568875971895954,0.07229848334185582,1.073745430528729,-0.33327513934373854,0.4294307402738986
imagenet-r,googlenet,predict_imagenet-r_googlenet_24-07-2023_18-21-04,0.029133333333333334,0.3981079853752007,0.3070412109305716,2.964650838080985,0.0010000000303494745,0.0002730394795544574,22.19314184624354,591.0922363032658,1.050342057269431,0.11712970608938486,0.046915276529225,1.0265009458612817,-0.38752954392433164,0.31119646812523205
imagenet-r,mobilenet,predict_imagenet-r_mobilenet_v2_24-07-2023_18-31-59,0.027033333333333333,0.20932286342239628,0.21913194081552936,4.1856742277325445,0.001000000029154277,0.00010271005748521323,17.32043595380783,423.0230410913785,1.249894839301259,0.06918024765588343,0.016613879014104264,0.9304364537712274,-0.4955327172279358,0.15274023535924572
imagenet-a,resnet50,predict_imagenet-a_resnet50_24-07-2023_18-43-14,0.145290047897818,0.2678404893736519,0.20814536984475132,3.851357638316468,0.0010000000310326446,0.00013125367327559588,20.62910692898944,529.4865111533855,1.1766046441371785,0.08856902410575605,0.02028807178354912,0.9646993636963883,-0.47500768681356664,0.18792761048803852
imagenet-a,resnet18,predict_imagenet-a_resnet18_24-07-2023_18-47-51,0.011442256519425226,0.48554782609754166,0.259611452236673,1.9930572580470296,0.0010000000357877675,0.00034646913968245616,23.645692560443095,630.6223630311325,1.0598545803466806,0.15629056288289256,0.053759438952864946,0.9838374869959662,-0.45773012338958563,0.3429281897934185
imagenet-a,resnet34,predict_imagenet-a_resnet34_24-07-2023_18-49-50,0.018626929217668974,0.527121530021003,0.26665276907481444,1.83043747952548,0.0010000000365622175,0.0003903101297765958,24.522877942062934,669.0383103691942,0.9917525016787139,0.16166714178581643,0.06284319531057739,1.0323698182026917,-0.39849234939002176,0.3886750944191062
imagenet-a,resnet101,predict_imagenet-a_resnet101_24-07-2023_18-52-30,0.04723257051623204,0.5632449642300582,0.26967499271415485,1.6710065384041535,0.0010000000374605796,0.00043127104740082415,25.19258179970407,697.4665226969331,0.9290328627444582,0.1667130555602672,0.07123599372261051,1.0596713187771845,-0.36457651300021726,0.42503855626825676
imagenet-a,resnet152,predict_imagenet-a_resnet152_24-07-2023_18-58-32,0.06027142096860032,0.5689325985251398,0.2676050700018768,1.6390621359881377,0.0010000000371817774,0.00043681399396583686,25.27661072452884,701.1613376814358,0.9244015369924726,0.16805062533126763,0.0721226686835775,1.0622018690982389,-0.3601884791323198,0.42933700176147904
imagenet-a,vgg16,predict_imagenet-a_vgg16_24-07-2023_19-06-36,0.026343799893560404,0.49014173077440215,0.26204767217169767,1.97688716555255,0.0010000000377858485,0.000351706757260786,23.71932523437102,634.6359439299677,1.0519050099548495,0.15647244676521335,0.05490049882226437,0.9947359759664518,-0.4381652067892725,0.34889650311845183
imagenet-a,vgg19,predict_imagenet-a_vgg19_24-07-2023_19-13-19,0.021021820117083555,0.49005130925099305,0.2641350083089662,1.9822996327894922,0.0010000000395206164,0.00035222728769476253,23.68480482895746,633.5583315778756,1.052196372831738,0.15630054707723676,0.055094938292636446,0.9945764941243384,-0.4364670570731607,0.35035099403230324
imagenet-a,alexnet,predict_imagenet-a_alexnet_24-07-2023_19-21-02,0.017695582756785525,0.41129051002923117,0.23831563056171476,2.3041267650375516,0.0010000000358961906,0.0002690796366390087,22.04416797971903,563.8942419608392,1.1763633474300792,0.14425918826027442,0.038501812625756485,0.9250685091711889,-0.5181426067121363,0.27109469395933183
imagenet-a,resnext,predict_imagenet-a_resnext_24-07-2023_19-22-13,0.27474720596061736,0.3138798944134872,0.23193511104184852,3.6800764218033155,0.0010000000297160797,0.0001678821665923978,22.140221415951,593.6633142761058,1.0705453607945716,0.09499146910622208,0.027695610442552372,1.0330340408034824,-0.39763790418202094,0.23534123221262346
imagenet-a,wide_resnet,predict_imagenet-a_wide_resnet_24-07-2023_19-33-43,0.22139435870143692,0.4323290328403757,0.281649708661543,2.9287136795644577,0.0010000000320858967,0.00028791917946226556,23.972233441058087,662.6829923337733,0.955952410488102,0.122995796365881,0.0494399059276428,1.0742862240300346,-0.348534121308446,0.33714729791050996
imagenet-a,densenet121,predict_imagenet-a_densenet121_24-07-2023_19-44-35,0.021420968600319317,0.5124354655034107,0.26213543343150514,1.8852522964133378,0.0010000000350907626,0.0003742151242025278,24.22774389749388,655.6452777064691,1.0148966091936902,0.16000049303079092,0.059384594093700734,1.0130799832458337,-0.42371304973190677,0.3698488743939641
imagenet-a,googlenet,predict_imagenet-a_googlenet_24-07-2023_19-49-08,0.017030335284725917,0.3683527675727427,0.24754452201627644,2.9036271536611475,0.0010000000317761167,0.00022681775246207337,21.81483333049904,561.8384475636951,1.161482750760294,0.12366039479203907,0.03443024472420034,0.9517953582928976,-0.48650742252815776,0.2547841971369535
imagenet-a,mobilenet,predict_imagenet-a_mobilenet_v2_24-07-2023_19-51-50,0.033661522086216075,0.20031910088035204,0.16505086933769095,4.088969548042029,0.0010000000291429867,8.345658213873737e-05,17.91451101581615,422.6537426219715,1.3170487482998838,0.07662634641708267,0.011103971314754355,0.8762158403690995,-0.5695760750339157,0.12520368472901183
imagenet,vid,predict_imagenet_vid_robust_mobilenet_v2_24-07-2023_23-49-10,0.0,0.11935263490158832,0.11118861326671345,3.7860523583367467,0.0003138563771472036,2.7423742180454624e-05,22.609497293829918,622.8152655959129,0.9719470356358215,0.031104137990041636,0.005042639302033081,1.2367674863198772,-0.13546903617680073,0.10406358235377411
imagenet,vid,predict_imagenet_vid_robust_mobilenet_v2_24-07-2023_23-51-58,0.0,0.12496158645070016,0.1505693898954062,4.045978524360914,0.0004224919202040952,4.2518523707266906e-05,19.10410865512027,476.02856455829317,1.2166097428832712,0.04061039740752304,0.00697529839889394,0.9057013536282178,-0.5346319625272682,0.08914897152307451
imagenet,vid,predict_imagenet_vid_robust_mobilenet_v2_25-07-2023_00-04-20,0.007661661048115232,0.11935263490158832,0.11118861326671345,3.7860523583367467,0.0003138563771472036,2.7423742180454624e-05,22.609497293829918,622.8152655959129,0.9719470356358215,0.031104137990041636,0.005042639302033081,1.2367674863198772,-0.13546903617680073,0.10406358235377411
imagenet,vid,predict_imagenet_vid_robust_mobilenet_v2_25-07-2023_00-05-53,0.007661661048115232,0.11935263490158832,0.11118861326671345,3.7860523583367467,0.0003138563771472036,2.7423742180454624e-05,22.609497293829918,622.8152655959129,0.9719470356358215,0.031104137990041636,0.005042639302033081,1.2367674863198772,-0.13546903617680073,0.10406358235377411
